         1517261 function calls (1488817 primitive calls) in 60.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       57    0.003    0.000    0.003    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
        1    0.003    0.003    0.345    0.345 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_dynamo\trace_rules.py:2777(get_torch_obj_rule_map)
     8082    0.002    0.000    0.003    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:64(ismodule)
     3650    0.002    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\sre_parse.py:356(_escape)
      114    0.002    0.000    0.002    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
       45    0.002    0.000    0.002    0.000 {built-in method torch.max_pool2d}
      135    0.002    0.000    0.002    0.000 {method 'chunk' of 'torch._C.TensorBase' objects}
      335    0.002    0.000    0.002    0.000 {method 'view' of 'torch._C.TensorBase' objects}
     2592    0.002    0.000    0.089    0.000 C:\Users\ASUS\.conda\envs\env\lib\genericpath.py:16(exists)
    13801    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
     3027    0.002    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        3    0.002    0.001    0.027    0.009 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\utils\_config_module.py:73(get_assignments_with_compile_ignored_comments)
       15    0.002    0.000    0.202    0.013 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\nn\modules\head.py:44(forward)
       15    0.002    0.000    0.003    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\tal.py:309(dist2bbox)
      960    0.002    0.000    0.579    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\conv.py:451(_conv_forward)
     2783    0.002    0.000    0.005    0.000 {built-in method builtins.max}
     5841    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      140    0.002    0.000    0.040    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\windows.py:149(_set_dpi_awareness)
      720    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
       71    0.002    0.000    0.002    0.000 {built-in method torch.zeros}
      162    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
2654/2647    0.002    0.000    0.282    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
      483    0.002    0.000    0.003    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:2781(__init__)
 3569/677    0.002    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\nn\modules\module.py:2369(named_modules)
    16199    0.002    0.000    0.002    0.000 {built-in method _imp.acquire_lock}
      904    0.002    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\typing_extensions.py:183(_collect_type_vars)
     1026    0.002    0.000    0.005    0.000 C:\Users\ASUS\.conda\envs\env\lib\enum.py:88(__setitem__)
     2031    0.002    0.000    0.031    0.000 C:\Users\ASUS\.conda\envs\env\lib\ntpath.py:524(abspath)
      720    0.002    0.000    0.176    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     1540    0.002    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\engine\results.py:24(__init__)
    16199    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
     6316    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      140    0.002    0.000    0.127    0.001 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torchvision\ops\boxes.py:13(nms)
     2108    0.002    0.000    0.006    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\package\package_importer.py:694(_patched_getfile)
      155    0.002    0.000    0.004    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\torch\_tensor.py:906(split)
     3445    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:160(__exit__)
    13770    0.002    0.000    0.002    0.000 {built-in method _thread.get_ident}
     6141    0.002    0.000    0.003    0.000 C:\Users\ASUS\.conda\envs\env\lib\inspect.py:700(<genexpr>)
      773    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      480    0.002    0.000    0.020    0.000 C:\Users\ASUS\.conda\envs\env\lib\typing.py:434(Union)
     1400    0.002    0.000    0.002    0.000 C:\Users\ASUS\.conda\envs\env\lib\site-packages\ultralytics\utils\plotting.py:85(__call__)
       30    0.002    0.000    0.002    0.000 {built-in method torch._C._nn.upsample_nearest2d}
      140    0.002    0.000    0.056    0.000 C:\Users\ASUS\.conda\envs\env\lib\copy.py:128(deepcopy)
      140    0.002    0.000    0.003    0.000 C:\Users\ASUS\AppData\Roaming\Python\Python39\site-packages\mss\screenshot.py:24(__init__)
   652/78    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
  769/767    0.002    0.000    0.091    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1894    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:398(parent)
       14    0.002    0.000    0.002    0.000 {method 'amax' of 'torch._C.TensorBase' objects}
       56    0.002    0.000    0.005    0.000 C:\Users\ASUS\.conda\envs\env\lib\logging\__init__.py:282(__init__)
     8722    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
